DesignID,k,family,nc,rf,ra,alpha,N,D_reg,A_reg,G_reg,D_scaled,A_scaled,G_scaled,Deff_reg,Aeff_reg,Geff_reg,Deff_scaled,Aeff_scaled,Geff_scaled
SCCD_k3_nc10_rf2_ra2,3,SCCD,10,2,2,1.7320508075688772,38,25.077654839967167,0.49507883680472153,0.29875611116401446,25.468612639467544,0.484119275366687,0.29522497368928075,0.6943369306760947,0.7563968591644603,0.6408636080277531,0.6929504689604685,0.7493536595394581,0.6286884887613613
SCCD_k4_nc10_rf2_ra2,4,SCCD,10,2,2,2,58,42.721193930010415,0.44767448537852284,0.2544665193357166,43.40623214580897,0.43520539456916113,0.22828769664151874,0.6849822473046401,0.7596655036954961,0.5710658551374264,0.683537672811821,0.7478996894330535,0.6814808804061901
SCCD_k5_nc10_rf2_ra2,5,SCCD,10,2,2,2.23606797749979,94,74.44125469483407,0.3779744320014577,0.17253563194449995,75.67132622906291,0.36261648979019273,0.17180507857153893,0.6406532186606774,0.7388930187686935,0.6309518263700237,0.6387752372569301,0.7175605038370555,0.6261182944005925
SCCD_k6_nc10_rf2_ra2,6,SCCD,10,2,2,2.449489742783178,162,132.83074078403592,0.3089960725140775,0.10449484462741135,135.17194517978342,0.28793307902159204,0.10424922238830046,0.5955981738258636,0.663130345518343,0.7020511125029067,0.5941993511112166,0.6447468497951923,0.7275135366168406
SCCD_k7_nc10_rf2_ra2,7,SCCD,10,2,2,2.6457513110645907,102,42.781872346020926,300.48017100294544,345.4753229713,64.12563105710773,3.22467126849052,3.931815453776792,0.5596952954995661,0.9993523436204828,1,0.5173435981710928,0.44215014219000554,0.42913148818532876
SCCD_k8_nc10_rf2_ra2,8,SCCD,10,2,2,2.8284271247461903,106,20.48036319404938,800.479515323221,743.2504455416317,48.26873080273979,7.350095644271343,6.475971023870213,0.5337921057561781,0.9997224729656896,0.7102571813924321,0.4267912601038856,0.3142882660186156,0.26549871643955986
SCCD_k9_nc10_rf2_ra2,9,SCCD,10,2,2,3,110,9.664454530728584,1500.449409485196,970.0049827018489,36.319004859640316,12.553288349832656,9.27807584833393,0.5116084903998571,0.9998456698587753,0.8487863572463583,0.3247591431858542,0.20847043067021379,0.16559955291061204
SCCD_k10_nc10_rf2_ra2,10,SCCD,10,2,2,3.1622776601683795,114,4.683384064706434,2400.388847204076,1279.7770046222952,27.813155670835975,18.63367143913174,9.64336845315191,0.4920933560374978,0.9999059988979835,0.8571417515756168,0.22651525220594837,0.1300471319289989,0.13302360443957414
FCCD_k3_nc1_rf3_ra2,3,FCCD,1,3,2,1,37,17.19185748495182,0.975899182393483,0.3018900440339058,17.634286889321235,0.9283776277718175,0.29029425921084495,0.4759991169388757,0.3837241427741015,0.6342107767535633,0.47979399359988306,0.39076399494924385,0.6393669067307296
FCCD_k4_nc1_rf3_ra2,4,FCCD,1,3,2,1,65,29.496533074384896,1.0854934128041418,0.31590570793405165,30.53958439343852,0.9919626459124462,0.28753780623355185,0.47294093760789435,0.3132979522631701,0.4600016296591633,0.4809207206653786,0.3281272543669894,0.541054766088043
