DesignID,lambda,lambda_eff,Dcrit,Acrit,Gcrit
RCCD_k8_nc3_rf2_ra2,1e-7,2.5819999999999997e-5,9.47903630384164,309837.7378110079,770882.641830412
RCCD_k9_nc3_rf2_ra2,1e-7,4.1464703658048903e-5,3.1417231322516233,361753.7935968286,627977.6936467073
RCCD_k10_nc3_rf2_ra2,1e-7,7.046515151515154e-5,1.210903343764635,340594.1378283826,477265.91647247307
SCCD_k3_nc3_rf2_ra2,1e-7,3.1899999999999995e-6,22.2220474283235,0.8065469255215465,0.33316155452613877
SCCD_k4_nc3_rf2_ra2,1e-7,5.46e-6,39.41443135509176,0.739582335060774,0.3206237698065366
SCCD_k5_nc3_rf2_ra2,1e-7,9.366666666666666e-6,70.28079050961351,0.6581532269652066,0.3168798106062763
SCCD_k6_nc3_rf2_ra2,1e-7,1.009642857142857e-5,76.55441306911213,0.7280602923715962,0.31149839310527216
SCCD_k7_nc3_rf2_ra2,1e-7,1.0841666666666668e-5,23.420826082684997,276710.970013897,1267367.5545863912
SCCD_k8_nc3_rf2_ra2,1e-7,1.159777777777778e-5,5.994914529557402,689788.05820523,1758105.2594210156
SCCD_k9_nc3_rf2_ra2,1e-7,1.2361818181818182e-5,1.5225325549630593,1213414.4470449416,2085189.1644780552
SCCD_k10_nc3_rf2_ra2,1e-7,1.3131818181818183e-5,0.4118413643292996,1827622.661438972,2470237.059447629
FCCD_k3_nc5_rf2_ra2,1e-7,2.0100000000000002e-6,13.906634785582755,1.002228345539265,1.67539658773974
FCCD_k4_nc5_rf2_ra2,1e-7,3.553333333333333e-6,22.630630533013736,1.1507075101998323,2.936886465887425
FCCD_k5_nc5_rf2_ra2,1e-7,6.70952380952381e-6,38.903150686578734,1.3020310020738737,4.5413331918166975
FCCD_k6_nc5_rf2_ra2,1e-7,6.675e-6,40.53492951003329,1.6302820153868387,6.329683572428689
FCCD_k7_nc5_rf2_ra2,1e-7,6.6472222222222225e-6,11.64570518625908,451318.2476780618,2123355.315096136
FCCD_k8_nc5_rf2_ra2,1e-7,6.624444444444444e-6,2.786871221412292,1207650.604586925,3124727.675834249
FCCD_k9_nc5_rf2_ra2,1e-7,6.6054545454545444e-6,0.65895327517992,2270852.925554406,4155135.6756176176
FCCD_k10_nc5_rf2_ra2,1e-7,6.589393939393939e-6,0.16540777931429002,3642219.193493528,4831724.6929025175
RCCD_k3_nc5_rf2_ra2,1e-7,3.0694112549695433e-6,22.573055369293225,0.6410103491111251,0.3348832433572788
RCCD_k4_nc5_rf2_ra2,1e-7,5.473333333333333e-6,40.779806033216,0.5729162760032303,0.2915794941196878
RCCD_k5_nc5_rf2_ra2,1e-7,1.0105414690427844e-5,76.4428151194897,0.4736844804495453,0.22533151615509958
RCCD_k6_nc5_rf2_ra2,1e-7,1.2675000000000001e-5,89.51625579192509,0.4899380156480907,0.301003451545599
RCCD_k7_nc5_rf2_ra2,1e-7,1.7327177327698812e-5,30.894743227741355,173138.8580150145,909609.9652671544
RCCD_k8_nc5_rf2_ra2,1e-7,2.5824444444444445e-5,9.508139870915262,309784.40423107165,751274.7809695185
RCCD_k9_nc5_rf2_ra2,1e-7,4.146834002168527e-5,3.1469714590583915,361722.0671926088,618769.41222407
RCCD_k10_nc5_rf2_ra2,1e-7,7.046818181818184e-5,1.2121399121984473,340579.48921615095,482328.5464049718
SCCD_k3_nc5_rf2_ra2,1e-7,3.21e-6,23.386698729404383,0.6287695525991615,0.32851163517323134
SCCD_k4_nc5_rf2_ra2,1e-7,5.473333333333333e-6,40.779806033216,0.5729162760032303,0.29165591184906475
SCCD_k5_nc5_rf2_ra2,1e-7,9.376190476190477e-6,72.01133014943066,0.49815418671263045,0.2602920828687817
SCCD_k6_nc5_rf2_ra2,1e-7,1.0103571428571429e-5,77.96386781889125,0.5725057144725407,0.31261738729165633
SCCD_k7_nc5_rf2_ra2,1e-7,1.0847222222222223e-5,23.756540362730895,276569.0964321271,1386601.199607371
